         15994786 function calls (15947473 primitive calls) in 7.361 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.186    0.186 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/dataset.py:39(make_trainig_data)
      615    0.000    0.000    0.001    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:128(__new__)
     1082    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
     1897    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       32    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      159    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/uuid.py:327(hex)
        5    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      159    0.000    0.000    0.003    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:383(_generator)
    54/11    0.000    0.000    0.001    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_compile.py:71(_compile)
        1    0.000    0.000    7.361    7.361 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/main.py:15(initialize_expirements)
        2    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fc317c08d30}
       20    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_compile.py:276(_optimize_charset)
        2    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/sklearn/utils/validation.py:1043(check_random_state)
      282    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:233(__next)
     1101    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      312    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:164(__getitem__)
        7    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
     1082    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
    67/24    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:174(getwidth)
        2    0.000    0.000    0.000    0.000 {method 'permutation' of 'numpy.random.mtrand.RandomState' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        4    0.000    0.000    0.000    0.000 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graph.py:49(<dictcomp>)
    28/11    0.000    0.000    0.001    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:435(_parse_sub)
      176    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        7    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/parser.py:256(create_input_source)
     43/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        7    0.000    0.000    4.378    0.625 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:312(parse)
        7    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/parser.py:88(__init__)
        7    0.000    0.000    4.382    0.626 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/graph.py:1153(parse)
       11    0.000    0.000    0.002    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/re.py:289(_compile)
        7    0.000    0.000    0.003    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/graph.py:327(__init__)
      196    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:254(get)
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1498(find_spec)
        4    0.000    0.000    0.000    0.000 {method 't' of 'torch._C._TensorBase' objects}
        7    0.000    0.000    4.385    0.626 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graphProcessing.py:8(make_rdf_graph)
       11    0.000    0.000    0.002    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_compile.py:759(compile)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:909(get_code)
        4    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/numpy/lib/arraysetops.py:320(_unique1d)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
      159    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
      173    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:249(match)
       11    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_compile.py:536(_compile_info)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1549(_fill_cache)
      176    0.000    0.000    0.000    0.000 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graph.py:40(<lambda>)
      125    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:890(_find_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       28    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/torch_geometric/data/storage.py:55(__setattr__)
       11    0.000    0.000    0.001    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:937(parse)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        4    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/torch_geometric/data/data.py:335(__init__)
      176    0.000    0.000    0.000    0.000 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graph.py:33(freq)
        1    0.000    0.000    0.002    0.002 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:3(<module>)
       88    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:286(tell)
      125    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:160(__len__)
      125    0.000    0.000    0.000    0.000 {built-in method builtins.min}
    17/10    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_compile.py:461(_get_literal_prefix)
        7    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/stores/memory.py:191(__init__)
       20    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_compile.py:249(_compile_charset)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        4    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:650(_load_unlocked)
       14    0.000    0.000    0.006    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugin.py:118(get)
      5/2    0.000    0.000    0.006    0.003 <frozen importlib._bootstrap>:986(_find_and_load)
      5/2    0.000    0.000    0.006    0.003 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        4    0.000    0.000    0.000    0.000 {built-in method _collections._count_elements}
        4    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/torch_geometric/data/storage.py:30(__init__)
       21    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:432(_uniq)
        8    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_compile.py:413(<listcomp>)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
       63    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:111(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       94    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       75    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:172(append)
       19    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:295(_class_escape)
       11    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/enum.py:938(__and__)
        2    0.000    0.000    0.002    0.001 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/sklearn/model_selection/_split.py:2321(train_test_split)
        8    0.000    0.000    0.000    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/sklearn/utils/__init__.py:237(_determine_key_type)
      5/2    0.000    0.000    0.006    0.003 {built-in method builtins.__import__}
